First process instance # in stats,1
Last process instance # in stats,1000

Resource utilization
Resource,Utilization %
Automated Service,QBP_SERVICE_RESOURCE_ID,0
Kitchen,Id_bfc2d939-c429-48b5-b575-7652c3a801db,35
Waiter,Id_0cd7ecec-4d99-4a53-b7ba-cee489b563dd,34

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Bring food to the table,Id_15f79c94-06a0-44e6-9791-c7d92671555c.Id_1da1d9dd-f693-4ef3-bbb4-411fbeb7db0e,60.0,60.0,60.0,71400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18333333333333554,0.18333333333333332,0.18333333333333332,218.1666666666693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1190
Check reservation,Id_15f79c94-06a0-44e6-9791-c7d92671555c.Id_f36f6225-18f0-48a3-9400-1081b12b212c,10.0,10.0,10.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03055555555555518,0.030555555555555555,0.030555555555555555,30.55555555555518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
Client arrived,Id_15f79c94-06a0-44e6-9791-c7d92671555c.Id_af858f63-2c0c-4e92-aaf8-d644df788412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
Does the client have a reservation?,Id_15f79c94-06a0-44e6-9791-c7d92671555c.Id_d1922627-95e6-42c8-b9c0-491b658d4347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
Does the client want more food?,Id_15f79c94-06a0-44e6-9791-c7d92671555c.Id_ce4379db-b36a-4b8e-b66a-fe774890d689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1190
EVENT 4 END,Id_15f79c94-06a0-44e6-9791-c7d92671555c.Id_40ef6162-f54f-46b9-a4ed-d43e945aaa14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
